url,domain,status,bucket,final_url,content_type,source_page_count,source_pages,error
https://rp.tandfonline.com/submission/create?journalCode=rwas,rp.tandfonline.com,404,LIKELY_DEAD,https://rp.tandfonline.com/submission/create?journalCode=rwas,text/html,1,/make-money/writing/wasafiri-interviews/,
https://thetyee.ca/submissions/,thetyee.ca,403,PROTECTED_OR_RATE_LIMITED,https://thetyee.ca/submissions/,text/html; charset=UTF-8,1,/make-money/writing/the-tyee/,
https://undark.org/ai-policy/,undark.org,403,PROTECTED_OR_RATE_LIMITED,https://undark.org/ai-policy/,text/html; charset=UTF-8,1,/make-money/writing/undark/,
https://undark.org/submission-guidelines/,undark.org,403,PROTECTED_OR_RATE_LIMITED,https://undark.org/submission-guidelines/,text/html; charset=UTF-8,1,/make-money/writing/undark/,
https://undark.org/what-is-undark-looking-for/,undark.org,403,PROTECTED_OR_RATE_LIMITED,https://undark.org/what-is-undark-looking-for/,text/html; charset=UTF-8,1,/make-money/writing/undark/,
https://www.upwork.com,www.upwork.com,403,PROTECTED_OR_RATE_LIMITED,https://www.upwork.com,text/html; charset=UTF-8,1,/make-money/coding/,
https://adimagazine.com/about/,adimagazine.com,200,REACHABLE,https://adimagazine.com/about/,text/html; charset=UTF-8,1,/make-money/writing/adi-again/,
https://adimagazine.com/submissions/,adimagazine.com,200,REACHABLE,https://adimagazine.com/submissions/,text/html; charset=UTF-8,2,/make-money/writing/adi-again/ | /make-money/writing/adi-essays/,
https://aeon.co/author-terms,aeon.co,200,REACHABLE,https://aeon.co/author-terms,text/html; charset=utf-8,1,/make-money/writing/aeon-essays/,
https://aeon.co/pitch,aeon.co,200,REACHABLE,https://aeon.co/pitch,text/html; charset=utf-8,1,/make-money/writing/aeon-essays/,
https://africanarguments.org/2026/04/african-arguments-relaunching-for-2026/,africanarguments.org,200,REACHABLE,https://africanarguments.org/2026/04/african-arguments-relaunching-for-2026/,text/html; charset=UTF-8,1,/make-money/writing/african-arguments/,
https://africanarguments.org/write-for-us/,africanarguments.org,200,REACHABLE,https://africanarguments.org/write-for-us/,text/html; charset=UTF-8,1,/make-money/writing/african-arguments/,
https://afrolicious.com/issue/02/pitching-afrolicious/,afrolicious.com,200,REACHABLE,https://afrolicious.com/issue/02/pitching-afrolicious/,text/html; charset=UTF-8,1,/make-money/writing/afrolicious/,
https://agbowo.org/submissions/,agbowo.org,200,REACHABLE,https://agbowo.org/submissions/,text/html; charset=UTF-8,1,/make-money/writing/agbowo-essays/,
https://alignerr.com,alignerr.com,200,REACHABLE,https://www.alignerr.com/,text/html; charset=utf-8,2,/make-money/make-money-online-nigeria/ | /make-money/remote-work/,
https://analogsf.com/contact-us/writers-guidelines/,analogsf.com,200,REACHABLE,https://analogsf.com/contact-us/writers-guidelines/,text/html; charset=UTF-8,2,/make-money/writing/analog-fact/ | /make-money/writing/analog-fiction/,
https://andela.com,andela.com,200,REACHABLE,https://www.andela.com/,text/html; charset=utf-8,1,/make-money/coding/,
https://appen.com,appen.com,200,REACHABLE,https://www.appen.com/,text/html; charset=utf-8,1,/make-money/remote-work/,
https://asimovs.com/contact-us/writers-guidelines/,asimovs.com,200,REACHABLE,https://asimovs.com/contact-us/writers-guidelines/,text/html; charset=UTF-8,1,/make-money/writing/asimovs-fiction/,
https://brevity.submittable.com/submit,brevity.submittable.com,206,REACHABLE,https://brevity.submittable.com/submit,text/html; charset=utf-8,1,/make-money/writing/brevity-essays/,
https://brevitymag.com/submissions/,brevitymag.com,200,REACHABLE,https://brevitymag.com/submissions/,text/html; charset=UTF-8,1,/make-money/writing/brevity-essays/,
https://clarkesworldmagazine.com/submissions/,clarkesworldmagazine.com,206,REACHABLE,https://clarkesworldmagazine.com/submissions/,text/html; charset=UTF-8,2,/make-money/writing/clarkesworld-fiction/ | /make-money/writing/clarkesworld-nonfiction/,
https://clarkesworldmagazine.com/submissions_tracker/,clarkesworldmagazine.com,206,REACHABLE,https://clarkesworldmagazine.com/submissions_tracker/,text/html; charset=UTF-8,1,/make-money/writing/clarkesworld-fiction/,
https://contra.com,contra.com,200,REACHABLE,https://contra.com,text/html;charset=utf-8,1,/make-money/coding/,
https://docs.google.com/document/d/1Hu8dZS6s6HhT3mYeVmTZS0KyMJama4xtURsZPRj81sY/edit,docs.google.com,200,REACHABLE,https://docs.google.com/document/d/1Hu8dZS6s6HhT3mYeVmTZS0KyMJama4xtURsZPRj81sY/edit,text/html; charset=utf-8,1,/make-money/writing/noema/,
https://duotrope.com/duosuma/submit/the-markaz-review-OGqkp,duotrope.com,200,REACHABLE,https://duotrope.com/duosuma/submit/the-markaz-review-OGqkp,text/html; charset=utf-8,1,/make-money/writing/markaz-review/,
https://efikomag.com/submission-guidelines/,efikomag.com,200,REACHABLE,https://efikomag.com/submission-guidelines/,text/html; charset=UTF-8,1,/make-money/writing/efiko/,
https://electricliterature.com/about/submit/,electricliterature.com,200,REACHABLE,https://electricliterature.com/about/submit/,text/html; charset=UTF-8,1,/make-money/writing/electric-literature-essays/,
https://electricliterature.submittable.com/submit,electricliterature.submittable.com,206,REACHABLE,https://electricliterature.submittable.com/submit,text/html; charset=utf-8,1,/make-money/writing/electric-literature-essays/,
https://griffithreview.submittable.com/submit,griffithreview.submittable.com,206,REACHABLE,https://griffithreview.submittable.com/submit,text/html; charset=utf-8,1,/make-money/writing/griffith-review-bodies/,
https://gun.io,gun.io,200,REACHABLE,https://gun.io,text/html; charset=UTF-8,1,/make-money/coding/,
https://imerit.net,imerit.net,200,REACHABLE,https://imerit.ai/,text/html; charset=UTF-8,1,/make-money/remote-work/,
https://khoreo.moksha.io/publication/khoreo-magazine,khoreo.moksha.io,200,REACHABLE,https://khoreo.moksha.io/publication/khoreo-magazine,text/html; charset=utf-8,1,/make-money/writing/khoreo-fiction/,
https://lemon.io,lemon.io,200,REACHABLE,https://lemon.io,text/html; charset=UTF-8,1,/make-money/coding/,
https://listverse.com/authors/listverse-author-guide.pdf,listverse.com,206,REACHABLE,https://listverse.com/authors/listverse-author-guide.pdf,application/pdf,1,/make-money/writing/listverse/,
https://listverse.com/submit-a-list/,listverse.com,206,REACHABLE,https://listverse.com/submit-a-list/,text/html; charset=UTF-8,1,/make-money/writing/listverse/,
https://lithub.com/how-to-pitch-lit-hub/,lithub.com,200,REACHABLE,https://lithub.com/how-to-pitch-lit-hub/,text/html; charset=UTF-8,1,/make-money/writing/literary-hub/,
https://longreads.com/submissions/,longreads.com,200,REACHABLE,https://longreads.com/submissions/,text/html; charset=UTF-8,3,/make-money/writing/longreads-personal-essay/ | /make-money/writing/longreads-reading-list/ | /make-money/writing/longreads-reported-feature/,
https://mindrift.ai,mindrift.ai,200,REACHABLE,https://mindrift.ai,text/html,2,/make-money/make-money-online-nigeria/ | /make-money/remote-work/,
https://nacla.org/write-for-nacla/,nacla.org,200,REACHABLE,https://nacla.org/write-for-nacla/,text/html; charset=utf-8,1,/make-money/writing/nacla/,
https://newlinesmag.com/pitch/,newlinesmag.com,206,REACHABLE,https://newlinesmag.com/pitch/,text/html; charset=UTF-8,1,/make-money/writing/new-lines/,
